Student_ID,Age,Gender,Region,Subject,App_Login_Count,Video_Completion_Rate,Study_Hours_Per_Week,Percentage,Engagement_Level,Engagement_Score,Risk_Reason
S00005,22,Female,Aswan,Computer Science,17,44.88,11.48,75.16,Low,35.78,Low engagement and below-average academic performance
S00008,16,Male,Alexandria,Computer Science,20,30.77,7.51,63.18,Low,32.18,Low engagement and below-average academic performance
S00029,16,Male,Alexandria,English,19,42.28,12.14,71.25,Low,36.44,Low engagement and below-average academic performance
S00031,15,Female,Cairo,English,20,46.16,12.27,72.27,Low,39.11,Low engagement and below-average academic performance
S00034,18,Male,Aswan,English,17,38.07,4.19,54.19,Low,32.71,Low engagement and below-average academic performance
S00037,17,Male,Giza,Computer Science,21,51.57,8.58,71.37,Low,42.46,Low engagement and below-average academic performance
S00043,17,Male,Alexandria,Computer Science,20,35.94,8.29,69.52,Low,34.51,Low engagement and below-average academic performance
S00044,21,Female,Cairo,Arabic,14,59.17,8.04,75.98,Low,39.46,Low engagement and below-average academic performance
S00049,17,Male,Alexandria,Math,16,63.72,8.51,71.91,Low,43.34,Low engagement and below-average academic performance
S00050,21,Male,Assiut,Science,13,57.37,10.32,60.71,Low,37.73,Low engagement and below-average academic performance
S00051,21,Male,Giza,Computer Science,15,63.61,9.11,74.55,Low,42.37,Low engagement and below-average academic performance
S00052,17,Female,Giza,Math,15,62.3,5.56,68.73,Low,41.78,Low engagement and below-average academic performance
S00054,17,Female,Mansoura,Arabic,17,39.16,9.27,66.69,Low,33.21,Low engagement and below-average academic performance
S00057,22,Male,Alexandria,Computer Science,20,42.97,2.98,60.92,Low,37.67,Low engagement and below-average academic performance
S00061,21,Male,Alexandria,Science,15,64.73,10.99,72.99,Low,42.88,Low engagement and below-average academic performance
S00065,17,Female,Mansoura,Computer Science,11,67.83,4.27,75.69,Low,40.61,Low engagement and below-average academic performance
S00067,18,Male,Alexandria,Arabic,14,19.33,8.24,74.49,Low,21.53,Low engagement and below-average academic performance
S00071,19,Male,Mansoura,Math,21,31.65,8.5,47.91,Low,33.49,Low engagement and below-average academic performance
S00072,18,Female,Alexandria,Computer Science,23,43.38,9.24,63.01,Low,40.6,Low engagement and below-average academic performance
S00075,21,Male,Cairo,English,15,40.97,2.6,53.71,Low,32.19,Low engagement and below-average academic performance
S00076,17,Female,Assiut,Science,17,36.67,12.07,72.04,Low,32.08,Low engagement and below-average academic performance
S00078,16,Female,Alexandria,Science,12,45.13,11.19,68.89,Low,31.31,Low engagement and below-average academic performance
S00083,17,Female,Cairo,Science,14,48.88,9.66,72.25,Low,34.83,Low engagement and below-average academic performance
S00087,22,Female,Aswan,Science,17,58.97,9.99,61.86,Low,42.12,Low engagement and below-average academic performance
S00103,22,Male,Cairo,Math,16,34.15,5.56,59.5,Low,30.03,Low engagement and below-average academic performance
S00111,17,Female,Mansoura,Math,14,26.04,9.66,71.03,Low,24.55,Low engagement and below-average academic performance
S00112,15,Male,Assiut,Math,16,61.7,5.13,62.6,Low,42.43,Low engagement and below-average academic performance
S00115,19,Male,Giza,Math,16,36.3,4.14,54.61,Low,31.0,Low engagement and below-average academic performance
S00121,19,Female,Giza,Math,15,54.42,9.65,76.03,Low,38.24,Low engagement and below-average academic performance
S00125,20,Male,Alexandria,Science,18,45.93,7.44,68.29,Low,37.17,Low engagement and below-average academic performance
S00130,18,Male,Giza,Science,17,39.26,9.33,70.04,Low,33.25,Low engagement and below-average academic performance
S00132,19,Male,Aswan,English,18,52.76,8.38,72.76,Low,40.24,Low engagement and below-average academic performance
S00133,18,Female,Mansoura,Science,12,46.54,8.56,80.59,Low,31.94,Low engagement and below-average academic performance
S00136,20,Female,Cairo,Computer Science,18,38.64,5.98,76.97,Low,33.89,Low engagement and below-average academic performance
S00141,21,Male,Mansoura,Math,14,69.61,9.62,74.42,Low,44.16,Low engagement and below-average academic performance
S00154,16,Female,Assiut,English,11,76.5,6.6,72.41,Low,44.51,Low engagement and below-average academic performance
S00164,20,Female,Assiut,Computer Science,15,55.59,9.22,79.01,Low,38.77,Low engagement and below-average academic performance
S00165,16,Female,Alexandria,Math,19,40.05,5.67,55.02,Low,35.44,Low engagement and below-average academic performance
S00174,22,Male,Alexandria,Computer Science,19,51.11,6.78,62.1,Low,40.42,Low engagement and below-average academic performance
S00183,18,Female,Aswan,Arabic,23,45.56,6.29,63.26,Low,41.59,Low engagement and below-average academic performance
S00202,15,Male,Giza,Computer Science,21,40.51,10.38,72.79,Low,37.48,Low engagement and below-average academic performance
S00213,22,Male,Cairo,English,17,52.17,8.16,77.73,Low,39.06,Low engagement and below-average academic performance
S00215,20,Male,Assiut,English,12,63.73,4.63,59.33,Low,39.68,Low engagement and below-average academic performance
S00225,19,Male,Alexandria,Computer Science,21,53.05,9.25,76.14,Low,43.12,Low engagement and below-average academic performance
S00226,17,Female,Aswan,Math,14,70.35,8.69,65.11,Low,44.49,Low engagement and below-average academic performance
S00227,21,Male,Cairo,English,8,58.8,11.52,78.19,Low,33.79,Low engagement and below-average academic performance
S00233,16,Female,Aswan,Science,20,44.13,10.27,74.65,Low,38.19,Low engagement and below-average academic performance
S00235,18,Female,Assiut,Math,17,57.83,8.74,78.44,Low,41.61,Low engagement and below-average academic performance
S00241,22,Female,Mansoura,Math,13,65.75,5.35,67.19,Low,41.5,Low engagement and below-average academic performance
S00242,21,Male,Assiut,Computer Science,15,40.32,6.34,64.77,Low,31.89,Low engagement and below-average academic performance
S00244,17,Male,Cairo,Math,23,37.0,8.21,77.9,Low,37.73,Low engagement and below-average academic performance
S00252,22,Female,Assiut,Arabic,14,69.3,4.94,61.41,Low,44.02,Low engagement and below-average academic performance
S00257,18,Male,Assiut,Math,16,64.4,5.28,63.57,Low,43.65,Low engagement and below-average academic performance
S00260,15,Male,Alexandria,English,9,77.46,8.39,60.14,Low,43.11,Low engagement and below-average academic performance
S00261,18,Male,Mansoura,Math,16,53.88,11.2,69.45,Low,38.91,Low engagement and below-average academic performance
S00263,22,Female,Mansoura,English,11,46.76,2.98,72.01,Low,31.13,Low engagement and below-average academic performance
S00264,20,Male,Mansoura,Science,16,25.24,10.69,68.5,Low,26.02,Low engagement and below-average academic performance
S00268,17,Female,Cairo,Arabic,10,48.19,5.05,67.31,Low,30.85,Low engagement and below-average academic performance
S00271,15,Female,Cairo,Arabic,16,41.99,11.33,60.21,Low,33.56,Low engagement and below-average academic performance
S00272,16,Female,Assiut,English,11,54.04,9.92,62.76,Low,34.4,Low engagement and below-average academic performance
S00274,15,Male,Mansoura,Science,14,56.31,10.85,72.19,Low,38.17,Low engagement and below-average academic performance
S00276,15,Female,Aswan,Computer Science,28,41.79,9.25,72.31,Low,44.47,Low engagement and below-average academic performance
S00299,22,Female,Cairo,English,12,74.05,9.14,71.43,Low,44.32,Low engagement and below-average academic performance
S00300,22,Female,Giza,Computer Science,12,75.46,4.26,75.76,Low,44.96,Low engagement and below-average academic performance
S00301,16,Female,Cairo,Science,15,47.58,8.87,77.45,Low,35.16,Low engagement and below-average academic performance
S00304,18,Male,Cairo,Math,20,45.28,8.67,73.18,Low,38.71,Low engagement and below-average academic performance
S00305,17,Male,Mansoura,Science,15,60.0,6.95,77.6,Low,40.75,Low engagement and below-average academic performance
S00307,20,Female,Mansoura,Science,18,49.95,13.91,76.47,Low,38.98,Low engagement and below-average academic performance
