Student_ID,Age,Gender,Region,Subject,App_Login_Count,Video_Completion_Rate,Study_Hours_Per_Week,Percentage,Engagement_Level,Engagement_Score
S00001,22,Female,Giza,Arabic,26,80.03,9.68,91.3,Medium,59.85
S00002,20,Male,Cairo,Computer Science,18,71.09,6.96,81.27,Medium,48.49
S00003,16,Male,Cairo,Math,21,82.22,4.0,78.24,Medium,56.25
S00004,22,Female,Cairo,Math,15,74.0,8.36,75.81,Medium,47.05
S00005,22,Female,Aswan,Computer Science,17,44.88,11.48,75.16,Low,35.78
S00006,15,Male,Assiut,Computer Science,17,89.08,6.87,81.32,Medium,55.67
S00007,15,Female,Giza,Science,18,67.78,1.0,74.17,Medium,47.0
S00008,16,Male,Alexandria,Computer Science,20,30.77,7.51,63.18,Low,32.18
S00009,21,Female,Assiut,Science,16,90.06,9.75,93.48,Medium,55.19
S00010,19,Female,Cairo,English,22,100.0,14.82,100.0,Medium,65.17
S00011,19,Male,Giza,Math,12,93.18,11.33,85.48,Medium,52.93
S00012,18,Male,Alexandria,Arabic,29,50.82,15.45,96.17,Medium,49.45
S00013,18,Male,Mansoura,Computer Science,17,59.29,16.93,96.34,Low,42.26
S00014,20,Male,Cairo,Science,26,90.17,9.4,100.0,Medium,64.41
S00015,15,Male,Mansoura,Computer Science,25,61.42,9.63,86.8,Medium,50.56
S00016,19,Male,Alexandria,English,11,91.94,12.87,87.22,Medium,51.46
S00017,16,Male,Alexandria,Science,18,62.66,12.99,85.5,Low,44.7
S00018,21,Female,Cairo,Math,13,88.89,8.69,85.18,Medium,51.92
S00019,16,Male,Alexandria,Computer Science,13,100.0,11.57,81.61,Medium,56.92
S00020,15,Female,Giza,Science,21,71.36,3.97,86.76,Medium,51.36
S00021,18,Male,Cairo,Science,19,53.57,6.32,83.26,Low,41.52
S00022,18,Female,Mansoura,Science,23,48.09,13.47,85.36,Low,42.72
S00023,19,Female,Alexandria,Math,26,74.61,7.37,98.23,Medium,57.41
S00024,21,Male,Cairo,Computer Science,10,71.97,8.9,92.19,Low,41.55
S00025,20,Male,Giza,Arabic,25,91.28,4.48,74.84,Medium,63.99
S00026,17,Male,Cairo,Computer Science,20,65.89,10.77,97.79,Medium,47.98
S00027,20,Female,Aswan,Science,17,82.29,6.84,78.53,Medium,52.61
S00028,19,Male,Cairo,Arabic,24,69.85,10.24,75.79,Medium,53.43
S00029,16,Male,Alexandria,English,19,42.28,12.14,71.25,Low,36.44
S00030,15,Female,Mansoura,Science,22,61.37,6.8,71.02,Medium,47.78
S00031,15,Female,Cairo,English,20,46.16,12.27,72.27,Low,39.11
S00032,16,Female,Alexandria,Computer Science,14,64.64,13.03,95.11,Low,41.92
S00033,21,Female,Assiut,Computer Science,12,57.97,13.74,80.89,Low,37.09
S00034,18,Male,Aswan,English,17,38.07,4.19,54.19,Low,32.71
S00035,18,Male,Assiut,English,15,59.75,10.26,82.71,Low,40.64
S00036,18,Female,Cairo,English,17,72.6,7.86,76.23,Medium,48.25
S00037,17,Male,Giza,Computer Science,21,51.57,8.58,71.37,Low,42.46
S00038,20,Male,Giza,Science,17,65.66,10.6,89.93,Medium,45.13
S00039,15,Female,Giza,Science,22,76.05,8.06,78.73,Medium,54.39
S00040,19,Male,Aswan,Computer Science,21,54.43,9.23,96.45,Low,43.74
S00041,22,Female,Cairo,Computer Science,18,79.44,9.7,82.78,Medium,52.25
S00042,22,Male,Giza,Computer Science,24,62.46,8.89,90.35,Medium,50.11
S00043,17,Male,Alexandria,Computer Science,20,35.94,8.29,69.52,Low,34.51
S00044,21,Female,Cairo,Arabic,14,59.17,8.04,75.98,Low,39.46
S00045,16,Female,Alexandria,Science,18,82.03,7.43,69.18,Medium,53.41
S00046,16,Male,Cairo,Computer Science,17,59.23,9.96,93.38,Low,42.24
S00047,17,Female,Mansoura,Arabic,17,87.69,7.27,81.03,Medium,55.04
S00048,15,Male,Giza,Computer Science,17,57.44,12.96,81.36,Low,41.43
S00049,17,Male,Alexandria,Math,16,63.72,8.51,71.91,Low,43.34
S00050,21,Male,Assiut,Science,13,57.37,10.32,60.71,Low,37.73
S00051,21,Male,Giza,Computer Science,15,63.61,9.11,74.55,Low,42.37
S00052,17,Female,Giza,Math,15,62.3,5.56,68.73,Low,41.78
